date,name,ascent_type,grade,angle,style,key
2023-10-03,Kulturistica,Redpoint,5.12b,Overhang,Tufa,6936a530-47e8-473d-8484-ea4b0f3dce47
2023-10-09,Tufantastic,Onsight,5.12c,Overhang,Tufa,b7d34e09-72a9-4cfb-9c16-dfd467604bb2
2023-10-21,Ya Agori Mu,Onsight,5.12a,Vertical,Tufa,6d62b34d-60f0-410a-bc8e-18323787ba60
2023-10-22,Lulu in the Sky,Onsight,5.12b,Overhang,Tufa,ec1f7834-0a39-458b-9076-df9590272d1e
2023-11-02,Snozberries,Onsight,5.11d,Overhang,Jugs,1c2a3188-da58-4199-8f2f-adab3a755642
2023-11-04,Don't call it a comeback,Onsight,5.11d,Overhang,Incuts,80180ea9-f16b-48b2-86cb-cd65342a01aa
2023-11-05,Hippie Core Drill Machine,Onsight,5.12a,Overhang,Jugs,f4a2ee6f-95ba-431b-9b54-703905e9fed6
2023-11-04,Yoko Ono,Redpoint,5.12c,Vertical,Incuts,f8394390-74e5-4381-a9ae-f001157e23b7
2023-11-14,Blue Eyed Honkey Jesus,Onsight,5.12b,Overhang,Jugs,494ce15f-488f-4fb2-8cb1-88446430ef1b
2023-11-15,Kick Me In The Jimmie,Redpoint,5.12a,Overhang,Incuts,c2011656-431d-4144-9c10-caf973a48ae6
2021-01-09,Sliding Across a Million Years,Redpoint,5.12b,Overhang,Jugs,3f20e06b-afcb-456e-a559-c7793a3de36a
2021-01-23,Monkey Wrench,Redpoint,v7,Vertical,Crimps,4ace6388-c4ab-47bc-8254-ee89cfe71a32
2023-11-19,Reload,Redpoint,5.12c,Overhang,Incuts,8725e79b-fe6c-44f3-a8f9-4ffb3baa88b1
2023-11-20,Snooker,Redpoint,5.13a,Overhang,Incuts,d283fb66-8cf6-41b8-8a91-a84adb302fd9
2023-11-25,Buff the Wood,Redpoint,5.12b,Overhang,Crimps,7329140c-1af4-4872-b843-97656df69a29
2023-11-29,Stain,Redpoint,5.12c,Overhang,Pockets,b0c8a0b1-cba5-41e4-9686-9e7538859ec2
2023-12-17,Synapse Collapse,Onsight,5.11d,Overhang,Jugs,20f0d9f8-d009-4153-a5f4-db5c32acd640
2023-12-17,"Cannabis ",Onsight,5.12a,Overhang,Crimps,43b076ce-51f0-41bf-a4bc-8fcc2ac19bfc
2023-12-30,Steep Thrills,Onsight,5.12a,Overhang,Incuts,88fc953c-fd17-4bcd-a5f1-3d9c8e22c88e
2024-01-06,Spittin' Venom,Redpoint,v8,Overhang,Crimps,960920d4-b6ae-46d3-9ade-1132417cb925
2024-01-06,Welcome to Detroit,Redpoint,v5,Overhang,Compression,dde51247-f3a5-483c-b2fd-0fc4027b858f
2024-02-17,Hesher Was Here,Redpoint,v8,Vertical,Crimps,79d9c7c7-fb88-4125-977d-b45e8bbd5869
2024-02-17,High Noon,Redpoint,v8,Vertical,Crimps,56f7c5b5-cf77-425f-8ff5-e7b7dc278438
2024-02-17,Ugly Duckling,Redpoint,v6,Overhang,Jugs,332e529e-fb47-4f7c-be6b-4c9f708ec090
2024-02-17,Mr Rippler,Redpoint,v6,Roof,Pockets,909c662f-c172-44dd-af59-8176412ad35e
2024-02-18,Pink Lady,Onsight,v6,Roof,Jugs,4b9a4309-7407-40c4-ac66-4a2da555ef6c
2024-02-25,Poison Control,Redpoint,v9,Vertical,Crimps,a9b49e56-066e-4e7b-abe6-c749c6968ad4
2024-03-07,Delicatessen,Onsight,5.12a,Overhang,Incuts,5a236bef-1dca-4e98-865c-df98f27d3c70
2024-03-07,Galunlati,Onsight,5.12b,Overhang,Incuts,edb97d74-d0a6-4465-88b8-becaea1c68e5
2024-03-07,Magnum Opus,Redpoint,5.12a,Overhang,Incuts,5e8ceb58-6ca9-4afc-a418-481837d7a250
2024-03-10,Herd Mentality,Onsight,5.12c,Overhang,Slopers,f40a3c49-4c1f-476f-8b15-9a36cbeb5e3c
2024-03-29,Chainsaw Massacre,Onsight,5.12a,Overhang,Incuts,ada09340-ca44-4502-8127-07b44fcd8d0f
2024-03-31,Tuskan Raider,Redpoint,5.12d,Overhang,Pockets,a240f9ab-6b24-4f22-9a1b-6c6e711686d0
2024-04-01,Triple Sec,Redpoint,5.12d,Vertical,Pockets,a00c7cd9-30ef-47cb-bfc6-34a1f6dc74cd
2024-05-11,Cling Free,Redpoint,5.12b,Vertical,Crimps,1d7469dc-3cbe-4b0b-a23d-6499d4aaa43c
2024-05-24,Sika 13,Redpoint,5.13a,Vertical,Crimps,2391c77e-7be0-4a5e-94bf-0ac219c6bf13
2024-06-17,Butch Pocket and the Sundance Pump,Redpoint,5.12a,Vertical,Pockets,cff23799-60d9-4a30-9b35-00ef8a48c1b2
2024-06-19,Limestone Cowboy,Onsight,5.12a,Vertical,Pockets,f37cb6e2-b395-4073-af2b-cc01cacf9548
2024-06-20,Burnt Beans and Coffee,Redpoint,5.12c,Vertical,Pockets,c0750e83-4b69-46db-ac97-1aa0929b7854
2024-06-23,Wicked Felina,Onsight,5.12b,Vertical,Pockets,c226cf11-794e-4018-a50c-656ba9ef6d80
2024-07-07,Blue Light Special,Redpoint,5.13b,Vertical,Crimps,9dfdc7c7-a7d5-490a-80db-0c75b31e2064
2024-07-10,Born on the 4th of July,Onsight,5.12a,Vertical,Pockets,c3c5aa4f-6506-483d-b68f-9439da16b6db
2024-07-11,Baal,Onsight,5.12c,Vertical,Slopers,4ea09508-8214-42ed-9c4d-d7f2ac8a5266
2024-07-14,No Way Out,Onsight,5.12a,Vertical,Pockets,7c3ab2fd-f4f9-46fe-a051-7d1350f7c7e6
2024-07-14,Static Death,Redpoint,5.13a,Overhang,Incuts,f76b2a1d-7db9-432f-9340-416dea39d64d
2024-07-21,Great White Behemoth,Redpoint,5.12b,Vertical,Pockets,39a54ff2-319d-4964-83a5-fe30e3a7916a
2024-07-25,High Park Rodeo,Redpoint,5.13b,Vertical,Crimps,222da856-28b1-4902-b43b-2c46f9644832
2024-07-25,The Jizzleberry Bush,Redpoint,5.12a,Vertical,Crimps,a462b1e0-ec25-4412-9658-9d7578f77602
