id,user_id,date,route_name,ascent_type,grade,angle,style
129,1,2023/10/09,Tufantastic,Onsight,5.12c,Overhang,Tufa
130,1,2023/10/21,Ya Agori Mu,Onsight,5.12a,Vertical,Tufa
131,1,2023/10/22,Lulu in the Sky,Onsight,5.12b,Overhang,Tufa
132,1,2023/11/02,Snozberries,Onsight,5.11d,Overhang,Jugs
133,1,2023/11/04,Don't call it a comeback,Onsight,5.11d,Overhang,Incuts
134,1,2023/11/05,Hippie Core Drill Machine,Onsight,5.12a,Overhang,Jugs
135,1,2023/11/04,Yoko Ono,Redpoint,5.12c,Vertical,Incuts
136,1,2023/11/14,Blue Eyed Honkey Jesus,Onsight,5.12b,Overhang,Jugs
137,1,2023/11/15,Kick Me In The Jimmie,Redpoint,5.12a,Overhang,Incuts
138,1,2021/01/09,Sliding Across a Million Years,Redpoint,5.12b,Overhang,Jugs
139,1,2021/01/23,Monkey Wrench,Redpoint,v7,Vertical,Crimps
140,1,2023/11/19,Reload,Redpoint,5.12c,Overhang,Incuts
141,1,2023/11/20,Snooker,Redpoint,5.13a,Overhang,Incuts
142,1,2023/11/25,Buff the Wood,Redpoint,5.12b,Overhang,Crimps
143,1,2023/11/29,Stain,Redpoint,5.12c,Overhang,Pockets
144,1,2023/12/17,Synapse Collapse,Onsight,5.11d,Overhang,Jugs
145,1,2023/12/17,Cannabis ,Onsight,5.12a,Overhang,Crimps
146,1,2023/12/30,Steep Thrills,Onsight,5.12a,Overhang,Incuts
147,1,2024/01/06,Spittin' Venom,Redpoint,v8,Overhang,Crimps
148,1,2024/01/06,Welcome to Detroit,Redpoint,v5,Overhang,Compression
149,1,2024/02/17,Hesher Was Here,Redpoint,v8,Vertical,Crimps
150,1,2024/02/17,High Noon,Redpoint,v8,Vertical,Crimps
151,1,2024/02/17,Ugly Duckling,Redpoint,v6,Overhang,Jugs
152,1,2024/02/17,Mr Rippler,Redpoint,v6,Roof,Pockets
153,1,2024/02/18,Pink Lady,Onsight,v6,Roof,Jugs
154,1,2024/02/25,Poison Control,Redpoint,v9,Vertical,Crimps
155,1,2024/03/07,Delicatessen,Onsight,5.12a,Overhang,Incuts
156,1,2024/03/07,Galunlati,Onsight,5.12b,Overhang,Incuts
157,1,2024/03/07,Magnum Opus,Redpoint,5.12a,Overhang,Incuts
158,1,2024/03/10,Herd Mentality,Onsight,5.12c,Overhang,Slopers
159,1,2024/03/29,Chainsaw Massacre,Onsight,5.12a,Overhang,Incuts
160,1,2024/03/31,Tuskan Raider,Redpoint,5.12d,Overhang,Pockets
161,1,2024/04/01,Triple Sec,Redpoint,5.12d,Vertical,Pockets
162,1,2024/05/11,Cling Free,Redpoint,5.12b,Vertical,Crimps
163,1,2024/05/24,Sika 13,Redpoint,5.13a,Vertical,Crimps
164,1,2024/06/17,Butch Pocket and the Sundance Pump,Redpoint,5.12a,Vertical,Pockets
165,1,2024/06/19,Limestone Cowboy,Onsight,5.12a,Vertical,Pockets
166,1,2024/06/20,Burnt Beans and Coffee,Redpoint,5.12c,Vertical,Pockets
167,1,2024/06/23,Wicked Felina,Onsight,5.12b,Vertical,Pockets
168,1,2024/07/07,Blue Light Special,Redpoint,5.13b,Vertical,Crimps
169,1,2024/07/10,Born on the 4th of July,Onsight,5.12a,Vertical,Pockets
170,1,2024/07/11,Baal,Onsight,5.12c,Vertical,Slopers
171,1,2024/07/14,No Way Out,Onsight,5.12a,Vertical,Pockets
172,1,2024/07/14,Static Death,Redpoint,5.13a,Overhang,Incuts
173,1,2024/07/21,Great White Behemoth,Redpoint,5.12b,Vertical,Pockets
174,1,2024/07/25,High Park Rodeo,Redpoint,5.13b,Vertical,Crimps
175,1,2024/07/25,The Jizzleberry Bush,Redpoint,5.12a,Vertical,Crimps
